cityid,gbn,gbn+,lbn,fbn,sb
amsterdam,0,0,0,1,1
andorra-la-vella,1,1,0,0,1
athens,1,0,0,0,1
belgrade,0,1,1,0,1
berlin,0,0,1,0,1
bern,0,1,1,0,1
bratislava,0,1,1,0,1
brussels,0,0,1,1,1
bucharest,0,1,1,0,1
budapest,0,1,1,0,1
chisinau,1,0,0,0,1
copenhagen,0,0,0,1,1
dublin,0,1,1,0,1
helsinki,0,0,0,1,1
kyiv,1,1,0,0,1
lisbon,0,0,1,0,1
ljubljana,0,1,0,0,1
london,0,0,1,0,1
luxembourg,0,1,1,0,1
madrid,0,1,1,0,1
minsk,0,1,0,0,1
monaco,1,0,0,0,1
oslo,0,1,1,0,1
paris,0,0,0,1,1
podgorica,1,1,0,0,1
prague,1,0,0,0,1
pristina,0,1,1,0,1
reykjavik,0,1,0,0,1
riga,0,1,1,0,1
rome,1,1,0,0,1
san-marino,1,1,0,0,1
sarajevo,0,1,1,0,1
skopje,0,0,1,0,1
sofia,1,0,0,0,1
stockholm,0,0,0,1,1
tallinn,0,0,1,0,1
tirana,0,0,1,0,1
vaduz,0,1,1,0,1
valletta,1,0,0,0,1
vienna,0,0,1,0,1
vilnius,0,1,1,0,1
warsaw,0,0,1,1,1
zagreb,0,1,1,0,1
